"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C5,C6,C8,C9","4","10nF","","","","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","~"
"C7,C10","2","100nF","","","","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","~"
"D1,D2,D3,D4,D9,D10,D11,D12,D13,D14","10","LED","","","","LED_THT:LED_D4.0mm","~"
"F1","1","Fuse","","","","Fuse:Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open","~"
"J0_1","1","Alimentacion dispositivo serial","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-3-5.0-H_1x03_P5.00mm_Horizontal","~"
"J0_2,J0_3,J0_4,J0_5,J0_6,J0_7,J0_8,J0_9,J0_10,J0_11,J0_12,J0_13,J0_14,J0_15,J0_18","15","Terminales de tornillo espaciados en 5mm","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-3-5.0-H_1x03_P5.00mm_Horizontal","~"
"J1","1","+5V     +24V","","","","TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_360271_1x01_Horizontal_ScrewM3.0_Boxed","~"
"J7","1","24VDC","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-3-5.0-H_1x03_P5.00mm_Horizontal","~"
"J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23","16","switch","","","","TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_360271_1x01_Horizontal_ScrewM3.0_Boxed","~"
"J24,J25,J26,J27","4","Screw_Terminal_01x20","","","","Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical","~"
"K1,K9","2","Relay 1","","","","Relay_THT:Relay_SPDT_Fujitsu_FTR-LYCA005x_FormC_Vertical","http://www.sanyourelay.ca/public/products/pdf/SRD.pdf"
"K2,K8","2","Relay 2","","","","Relay_THT:Relay_SPDT_Fujitsu_FTR-LYCA005x_FormC_Vertical","http://www.sanyourelay.ca/public/products/pdf/SRD.pdf"
"K6","1","Relay 4","","","","Relay_THT:Relay_SPDT_Fujitsu_FTR-LYCA005x_FormC_Vertical","http://www.sanyourelay.ca/public/products/pdf/SRD.pdf"
"K7","1","Relay 3","","","","Relay_THT:Relay_SPDT_Fujitsu_FTR-LYCA005x_FormC_Vertical","http://www.sanyourelay.ca/public/products/pdf/SRD.pdf"
"Q1,Q2","2","2N2222","","","","Package_TO_SOT_THT:TO-92","https://c1555f5ec9.clvaw-cdnwnd.com/34662fcf1f1e607c561442431023ac8e/200011808-07af607af8/2N2222%20Datasheet%20-%202.pdf"
"Q6,Q7","2","IRG4PF50W","","","","Package_TO_SOT_THT:TO-247-3_Vertical","https://www.alldatasheet.com/html-pdf/116087/IRF/IRG4PF50W/56/1/IRG4PF50W.html"
"R1,R2,R3,R4,R20,R26","6","270Ω  -  1/4 W","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R5,R6","2","1 W","","","","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal","~"
"R7,R8,R12,R28","4","2.4 KΩ   -  1/2 W","","","","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal","~"
"R9,R10,R11,R44,R46,R48","6","1 kΩ  -  1/4 W","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R14,R15","2","7.5KΩ  -  1/4 W","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R19,R25","2","10Ω  -  1/4 W","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R21,R22,R23,R24","4","Depende de la aplicación salida analógica","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R37,R38","2","39Ω  -  1/4 W","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"U1,U2,U3,U4","4","TLP521-1","","","","Package_DIP:DIP-4_W7.62mm","https://docs.rs-online.com/d620/0900766b800287f7.pdf"
"U9,U10,U17,U18","4","LM741","","","","LM741_TH:LM741_TH","http://www.ti.com/lit/ds/symlink/lm741.pdf"
"U15,U19","2","TLP250","","","","Package_DIP:DIP-8_W7.62mm","http://toshiba.semicon-storage.com/info/docget.jsp?did=16821&prodName=TLP250"
"U25","1","UDN2981A","","","","Package_DIP:DIP-18_W7.62mm_LongPads","https://www.alldatasheet.com/html-pdf/120812/ALLEGRO/UDN2981A/295/1/UDN2981A.html"
